Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Line
FY23-24,19829,Morradoo,-38.35403334,145.1896025,3600,Stony Point
FY23-24,19831,Hastings,-38.30565853,145.1859799,14300,Stony Point
FY23-24,19832,Tyabb,-38.259815,145.1864007,3250,Stony Point
FY23-24,19833,Somerville,-38.22534196,145.1762449,7400,Stony Point
FY23-24,19835,Glen Iris,-37.85930842,145.0582249,268850,Glen Waverley
FY23-24,19837,Darling,-37.86895684,145.0629508,282750,Glen Waverley
FY23-24,19838,East Malvern,-37.87693002,145.069393,335300,Glen Waverley
FY23-24,19839,Holmesglen,-37.87440222,145.090662,396900,Glen Waverley
FY23-24,19840,Jordanville,-37.87360339,145.1120902,386400,Glen Waverley
FY23-24,19844,Belgrave,-37.9091021,145.3552913,223050,Belgrave
FY23-24,19845,Tecoma,-37.90811849,145.3429946,43350,Belgrave
FY23-24,19846,Upwey,-37.90369097,145.3313334,92050,Belgrave
FY23-24,19847,Alamein,-37.86832039,145.0796557,91500,Alamein
FY23-24,19848,Ashburton,-37.86196753,145.0813438,194250,Alamein
FY23-24,19849,Burwood,-37.85156328,145.0805111,214050,Alamein
FY23-24,19850,Hartwell,-37.84398457,145.0755596,132400,Alamein
FY23-24,19851,Willison,-37.83571565,145.0702976,75100,Alamein
FY23-24,19852,Riversdale,-37.83150543,145.069646,146100,Alamein
FY23-24,19853,Camberwell,-37.82656714,145.0586972,1241500,"Alamein, Belgrave, Lilydale"
FY23-24,19855,Frankston,-38.14299007,145.1261623,997450,Frankston
FY23-24,19856,Kananook,-38.12174203,145.1352953,173700,Frankston
FY23-24,19857,Seaford,-38.10402104,145.1282304,308950,Frankston
FY23-24,19858,Carrum,-38.07489292,145.1224183,322800,Frankston
FY23-24,19859,Bonbeach,-38.06294478,145.1196804,134500,Frankston
FY23-24,19860,Chelsea,-38.05195538,145.1160413,340500,Frankston
FY23-24,19861,Edithvale,-38.03805602,145.1085355,186300,Frankston
FY23-24,19862,Aspendale,-38.02722019,145.1021496,156950,Frankston
FY23-24,19863,Mordialloc,-38.00658295,145.0876594,538700,Frankston
FY23-24,19864,Parkdale,-37.99307882,145.0763268,69450,Frankston
FY23-24,19865,Mentone,-37.9818654,145.0651659,670400,Frankston
FY23-24,19866,Cheltenham,-37.96664989,145.0545579,629500,Frankston
FY23-24,19867,Upper Ferntree Gully,-37.8926717,145.3075302,155150,Belgrave
FY23-24,19868,Ferntree Gully,-37.88169799,145.2952513,269950,Belgrave
FY23-24,19869,Boronia,-37.8604518,145.2843851,380550,Belgrave
FY23-24,19870,Bayswater,-37.84173004,145.2681364,385400,Belgrave
FY23-24,19871,Heathmont,-37.82832227,145.2445554,150050,Belgrave
FY23-24,19872,Highett,-37.948425,145.0418718,345050,Frankston
FY23-24,19873,Glen Waverley,-37.87950407,145.1620575,1326650,Glen Waverley
FY23-24,19874,Syndal,-37.87622963,145.1497805,682000,Glen Waverley
FY23-24,19875,Mount Waverley,-37.87525526,145.1280557,652600,Glen Waverley
FY23-24,19876,Lilydale,-37.75551777,145.3477102,410150,Lilydale
FY23-24,19877,Mooroolbark,-37.78474883,145.3124024,465850,Lilydale
FY23-24,19878,Croydon,-37.79543697,145.2805978,288100,Lilydale
FY23-24,19879,Ringwood East,-37.81196804,145.2501909,213500,Lilydale
FY23-24,19880,Pakenham,-38.08061397,145.4863791,451700,Pakenham
FY23-24,19881,Officer,-38.06614572,145.4109872,163300,Pakenham
FY23-24,19882,Beaconsfield,-38.05083135,145.3660737,174000,Pakenham
FY23-24,19883,Berwick,-38.04040829,145.3457261,948200,Pakenham
FY23-24,19884,Narre Warren,-38.02780932,145.3039694,268150,Pakenham
FY23-24,19885,Hallam,-38.01774038,145.2697768,551600,Pakenham
FY23-24,19886,Cranbourne,-38.09953731,145.280599,949900,Cranbourne
FY23-24,19887,Merinda Park,-38.07900048,145.2635114,510450,Cranbourne
FY23-24,19888,Dandenong,-37.98996792,145.2097254,2073300,"Pakenham, Cranbourne"
FY23-24,19889,Yarraman,-37.97825454,145.1916003,275650,"Pakenham, Cranbourne"
FY23-24,19890,Noble Park,-37.96723193,145.1769357,1001850,"Pakenham, Cranbourne"
FY23-24,19891,Sandown Park,-37.95650457,145.1628259,421450,"Pakenham, Cranbourne"
FY23-24,19892,East Camberwell,-37.82589419,145.0681902,176350,"Alamein, Belgrave, Lilydale"
FY23-24,19893,Canterbury,-37.82448518,145.0812242,246900,"Alamein, Belgrave, Lilydale"
FY23-24,19894,Chatham,-37.82429952,145.0886479,175600,"Alamein, Belgrave, Lilydale"
FY23-24,19897,Laburnum,-37.82078023,145.1407027,291150,"Belgrave, Lilydale"
FY23-24,19898,Blackburn,-37.82007075,145.1500135,1230050,"Belgrave, Lilydale"
FY23-24,19899,Nunawading,-37.82060317,145.1748917,672750,"Belgrave, Lilydale"
FY23-24,19900,Mitcham,-37.81800987,145.1919735,833250,"Belgrave, Lilydale"
FY23-24,19901,Heatherdale,-37.81889537,145.2127872,406400,"Belgrave, Lilydale"
FY23-24,19902,Ringwood,-37.81588648,145.2289685,1606950,"Belgrave, Lilydale"
FY23-24,19903,Auburn,-37.82239831,145.0458437,626150,"Belgrave, Lilydale"
FY23-24,19904,Glenferrie,-37.82146682,145.0364388,1996050,"Belgrave, Lilydale"
FY23-24,19905,Hawthorn,-37.82182601,145.0228987,523950,"Belgrave, Lilydale"
FY23-24,19906,Burnley,-37.82756022,145.0075551,730000,"Alamein, Belgrave, Glen Waverley, Lilydale"
FY23-24,19907,East Richmond,-37.82639995,144.9970657,537300,"Alamein, Belgrave, Glen Waverley, Lilydale"
FY23-24,19909,Heyington,-37.83467244,145.0226353,185750,Glen Waverley
FY23-24,19910,Kooyong,-37.83992894,145.0335516,257850,Glen Waverley
FY23-24,19911,Tooronga,-37.84936553,145.0417337,467850,Glen Waverley
FY23-24,19912,Gardiner,-37.85327908,145.0516547,399250,Glen Waverley
FY23-24,19913,Springvale,-37.94950878,145.1534518,1473100,"Pakenham, Cranbourne"
FY23-24,19914,Westall,-37.93849121,145.1388326,665850,"Pakenham, Cranbourne"
FY23-24,19915,Clayton,-37.92468255,145.1205344,1535450,"Pakenham, Cranbourne"
FY23-24,19916,Huntingdale,-37.91101734,145.1023643,1391450,"Pakenham, Cranbourne"
FY23-24,19917,Oakleigh,-37.90037214,145.0883079,1555100,"Pakenham, Cranbourne"
FY23-24,19918,Hughesdale,-37.89488129,145.0776351,548700,"Pakenham, Cranbourne"
FY23-24,19919,Murrumbeena,-37.89019832,145.0673749,714250,"Pakenham, Cranbourne"
FY23-24,19920,Carnegie,-37.88624148,145.0585751,993800,"Pakenham, Cranbourne"
FY23-24,19921,Werribee,-37.89937805,144.661118,1085250,Werribee
FY23-24,19922,Hoppers Crossing,-37.88327618,144.7009549,897300,Werribee
FY23-24,19923,Laverton,-37.86369404,144.7726167,912600,Werribee
FY23-24,19924,Aircraft,-37.86660595,144.7608094,234300,Werribee
FY23-24,19925,Westona,-37.86516348,144.8134936,222100,Werribee
FY23-24,19926,Altona,-37.8671476,144.8296447,260350,Werribee
FY23-24,19927,Seaholme,-37.86784231,144.8409577,86500,Werribee
FY23-24,19928,Westgarth,-37.7806207,144.9992332,195700,Hurstbridge
FY23-24,19929,Dennis,-37.77918729,145.0082416,247400,Hurstbridge
FY23-24,19930,Fairfield,-37.77917126,145.0169053,444550,Hurstbridge
FY23-24,19931,Alphington,-37.77839363,145.0312549,244050,Hurstbridge
FY23-24,19932,Darebin,-37.77496341,145.038476,102800,Hurstbridge
FY23-24,19933,Ivanhoe,-37.76889674,145.0454252,597750,Hurstbridge
FY23-24,19934,Eaglemont,-37.76358553,145.0539427,111200,Hurstbridge
FY23-24,19935,Heidelberg,-37.75707293,145.0606855,702150,Hurstbridge
FY23-24,19936,Rosanna,-37.7428786,145.0661403,505100,Hurstbridge
FY23-24,19937,Moorabbin,-37.93435329,145.0367383,524250,Frankston
FY23-24,19938,Patterson,-37.92514919,145.03547,248350,Frankston
FY23-24,19939,Bentleigh,-37.91742457,145.0369951,509100,Frankston
FY23-24,19940,Mckinnon,-37.91030903,145.038299,307050,Frankston
FY23-24,19941,Ormond,-37.90321167,145.0396134,456750,Frankston
FY23-24,19943,Caulfield,-37.87745946,145.0425248,2909850,"Frankston, Pakenham, Cranbourne"
FY23-24,19944,Malvern,-37.8662533,145.0292939,612550,"Frankston, Pakenham, Cranbourne"
FY23-24,19945,Armadale,-37.85645238,145.0193255,413300,Frankston
FY23-24,19946,Toorak,-37.85077381,145.0139086,363150,Frankston
FY23-24,19947,Hawksburn,-37.84459087,145.0021421,378250,Frankston
FY23-24,19948,Sandringham,-37.95033018,145.0045614,786850,Sandringham
FY23-24,19949,Hampton,-37.93797681,145.0014706,493950,Sandringham
FY23-24,19950,Brighton Beach,-37.92648432,144.9891536,393350,Sandringham
FY23-24,19951,Middle Brighton,-37.91513441,144.9962991,526150,Sandringham
FY23-24,19952,North Brighton,-37.90488721,145.002605,524650,Sandringham
FY23-24,19953,Gardenvale,-37.89669508,145.0041684,396750,Sandringham
FY23-24,19954,Elsternwick,-37.88475311,145.0008979,797050,Sandringham
FY23-24,19955,Ripponlea,-37.87590643,144.9952366,487100,Sandringham
FY23-24,19956,Balaclava,-37.86948773,144.9935121,787700,Sandringham
FY23-24,19957,Windsor,-37.85605308,144.9920352,601350,Sandringham
FY23-24,19958,Prahran,-37.84951848,144.9898599,893300,Sandringham
FY23-24,19959,South Yarra,-37.83844935,144.9923422,3100250,"Frankston, Pakenham, Cranbourne, Sandringham"
FY23-24,19960,Upfield,-37.66607779,144.9467399,275250,Upfield
FY23-24,19961,Gowrie,-37.700678,144.9588743,231100,Upfield
FY23-24,19962,Fawkner,-37.71462129,144.960545,147500,Upfield
FY23-24,19963,Merlynston,-37.72093389,144.9613135,257800,Upfield
